nodes,variant,protocol,rate,tps_median,tps_min,material_p50_ms_since_start,material_p99_ms_since_start,cpu_cores_p50,wire_mb_per_s_p50,bandwidth_efficiency_p50,estimated_non_payload_bytes_per_tx_p50
10,vantage,vantage,100,100.1,100.0,447.5,599.0,0.057,0.16,3.1952,1175.1
10,autobahn-optimistic-a2a,autobahn-optimistic,100,100.0,100.0,482.5,700.5,0.423,0.16,3.0833,1117.9
10,autobahn-seamless,autobahn-seamless,100,100.1,100.0,712.0,1071.5,0.402,0.16,3.1278,1140.6
10,simpleit-optrbc,simple-it,100,100.0,100.0,639.0,815.5,0.045,0.28,5.4493,2329.2
10,simpleit-bracha,simple-it-bracha,100,99.9,99.9,765.5,964.5,0.045,0.28,5.4242,2316.4
10,bluestreak,starfish,100,100.6,99.9,462.9,626.9,0.033,0.09,1.7746,447.8
10,sailfish-pp,starfish,100,99.9,99.9,682.2,1806.7,0.074,0.16,3.1104,1131.7
20,vantage,vantage,100,100.0,99.9,436.0,601.5,0.098,0.28,5.417,2287.1
20,autobahn-optimistic-a2a,autobahn-optimistic,100,100.0,99.9,485.0,690.5,0.506,0.3,5.902,2535.4
20,autobahn-seamless,autobahn-seamless,100,100.0,99.8,718.5,1026.5,0.411,0.33,6.4165,2798.9
20,simpleit-optrbc,simple-it,100,100.1,100.0,669.0,850.5,0.081,0.87,17.0022,8218.7
20,simpleit-bracha,simple-it-bracha,100,100.0,99.8,785.0,982.0,0.073,0.87,16.9808,8207.8
20,bluestreak,starfish,100,99.9,99.7,467.2,629.2,0.049,0.14,2.7839,939.0
20,sailfish-pp,starfish,100,99.9,99.7,711.4,2069.7,0.195,0.47,9.1298,4188.1
50,vantage,vantage,100,99.9,99.7,448.0,609.0,0.269,0.64,12.4757,5885.8
50,autobahn-optimistic-a2a,autobahn-optimistic,100,100.0,99.9,486.5,700.5,0.578,1.13,22.0186,10771.8
50,autobahn-seamless,autobahn-seamless,100,100.1,99.8,731.5,1026.0,0.574,1.1,21.413,10461.7
50,simpleit-optrbc,simple-it,100,100.0,99.8,666.5,868.0,0.228,4.85,94.7761,48023.6
50,simpleit-bracha,simple-it-bracha,100,100.1,99.7,778.0,981.0,0.224,4.85,94.6392,47953.5
50,bluestreak,starfish,100,100.0,99.8,473.2,634.1,0.138,0.29,5.6784,2405.6
50,sailfish-pp,starfish,100,99.9,99.7,788.6,1530.3,0.724,2.31,45.1837,22632.3
100,vantage,vantage,100,100.0,99.4,451.5,617.0,0.783,1.22,23.896,11727.9
100,autobahn-optimistic-a2a,autobahn-optimistic,100,100.0,99.4,500.5,712.5,1.061,3.29,64.3427,32436.6
100,autobahn-seamless,autobahn-seamless,100,100.1,99.6,748.0,1055.5,0.952,3.33,65.1588,32854.4
100,simpleit-optrbc,simple-it,100,100.1,99.3,702.0,907.0,0.761,18.78,366.4957,187138.9
100,simpleit-bracha,simple-it-bracha,100,100.0,99.3,783.5,1000.5,0.781,18.79,366.8561,187323.5
100,bluestreak,starfish,100,100.0,99.2,479.9,640.8,0.286,0.53,10.4373,4837.0
100,sailfish-pp,starfish,100,100.0,99.2,796.5,2033.2,2.297,8.63,168.5483,85789.8
