nodes,variant,protocol,rate,reachable_rate,unreachable_rate,reachable_throughput_pct,adversarial_rate,tps_median,tps_min,material_p50_ms_since_start,material_p99_ms_since_start,cpu_cores_p50,wire_mb_per_s_p50,bandwidth_efficiency_p50,estimated_non_payload_bytes_per_tx_p50,status
10,vantage,vantage,100,100,0,100.0,0,100.0,99.9,450.5,602.0,0.057,0.12,2.425,780.8,ok
10,autobahn-optimistic-a2a,autobahn-optimistic,100,100,0,100.0,0,100.0,99.8,475.0,677.0,0.257,0.27,5.2486,2226.5,ok
10,autobahn-seamless,autobahn-seamless,100,100,0,100.0,0,100.0,99.8,702.5,979.0,0.256,0.33,6.3521,2791.5,ok
10,simpleit-optrbc,simple-it,100,100,0,100.0,0,100.0,99.9,634.5,799.5,0.043,0.29,5.6879,2451.4,ok
10,simpleit-bracha,simple-it-bracha,100,100,0,100.0,0,100.0,99.8,778.0,970.5,0.043,0.28,5.541,2376.2,ok
10,bluestreak,starfish,100,100,0,100.1,0,100.1,100.0,462.8,627.1,0.029,0.09,1.7755,448.2,ok
10,sailfish-pp,starfish,100,100,0,100.3,0,100.3,100.1,682.9,1899.6,0.07,0.16,3.1093,1131.2,ok
20,vantage,vantage,100,100,0,99.9,0,99.9,99.9,446.5,601.0,0.104,0.2,3.8616,1490.7,ok
20,autobahn-optimistic-a2a,autobahn-optimistic,100,100,0,100.0,0,100.0,99.7,486.5,677.0,0.326,0.64,12.5604,5944.5,ok
20,autobahn-seamless,autobahn-seamless,100,100,0,100.0,0,100.0,99.9,684.5,941.0,0.32,0.88,17.1574,8298.2,ok
20,simpleit-optrbc,simple-it,100,100,0,100.0,0,100.0,99.8,666.0,864.5,0.084,0.9,17.4855,8466.2,ok
20,simpleit-bracha,simple-it-bracha,100,100,0,100.0,0,100.0,99.6,781.5,989.0,0.084,0.88,17.2373,8339.1,ok
20,bluestreak,starfish,100,100,0,100.6,0,100.6,100.4,466.4,627.6,0.05,0.14,2.7885,941.3,ok
20,sailfish-pp,starfish,100,100,0,99.7,0,99.7,99.4,710.1,2267.2,0.213,0.47,9.1403,4193.4,ok
50,vantage,vantage,100,100,0,100.0,0,100.0,99.7,446.0,603.0,0.331,0.42,8.1166,3653.9,ok
50,autobahn-optimistic-a2a,autobahn-optimistic,100,100,0,99.9,0,99.9,99.6,474.5,665.0,0.738,3.21,62.8597,31682.4,ok
50,autobahn-seamless,autobahn-seamless,100,100,0,100.1,0,100.1,99.7,691.0,960.0,0.676,4.0,78.3303,39603.4,ok
50,simpleit-optrbc,simple-it,100,100,0,99.9,0,99.9,99.4,664.5,836.0,0.269,4.91,95.953,48626.2,ok
50,simpleit-bracha,simple-it-bracha,100,100,0,100.0,0,100.0,99.4,777.0,985.0,0.245,4.88,95.2392,48260.7,ok
50,bluestreak,starfish,100,100,0,100.0,0,100.0,99.6,473.0,632.0,0.139,0.29,5.68,2406.4,ok
50,sailfish-pp,starfish,100,100,0,100.0,0,100.0,99.5,776.2,1517.5,0.959,2.31,45.191,22636.0,ok
