variant,protocol,variant_status,overloaded,rate,tps_median,tps_min,material_p50_ms_since_start,material_p90_ms_since_start,material_p99_ms_since_start,cpu_cores_p50,rss_mb_median,wire_mb_per_s_p50,bandwidth_efficiency_p50,healthy_nodes_baseline,healthy_nodes_final,netem_dropped_packets,panics_total
vantage,vantage,completed,False,100,98.9,88.9,476.0,625.0,1228.0,0.869,1071.0,0.73,14.3088,100,100,0,0.0
vantage,vantage,completed,False,10000,9982.8,9952.0,446.0,539.0,617.5,1.308,1483.9,6.09,1.1903,100,100,0,0.0
vantage,vantage,completed,False,150000,149781.9,149304.2,460.5,555.0,634.0,2.33,2382.2,78.23,1.0203,100,100,0,0.0
vantage,vantage,completed,False,200000,198175.5,190551.3,496.0,648.0,1101.0,2.631,2651.1,103.99,1.025,100,100,0,0.0
vantage,vantage,completed,False,225000,224733.8,224351.1,467.0,561.5,640.5,2.93,3143.8,116.89,1.0158,100,100,0,0.0
vantage,vantage,completed,False,250000,239373.6,237639.7,471.0,565.0,646.0,3.153,3290.8,129.65,1.0577,100,100,0,0.0
vantage,vantage,completed,True,275000,235070.5,231855.7,473.0,567.0,647.0,3.168,3574.9,131.56,1.0928,100,100,0,0.0
autobahn-optimistic-a2a,autobahn-optimistic,failed,False,100,100.3,99.5,494.5,613.0,712.5,1.057,634.6,3.4,66.5396,100,100,0,0.0
autobahn-optimistic-a2a,autobahn-optimistic,failed,False,10000,9999.8,9986.2,496.0,612.0,709.5,1.459,1022.9,8.77,1.7131,100,100,0,0.0
autobahn-seamless,autobahn-seamless,completed,False,100,100.1,99.5,754.0,910.0,1047.5,0.905,637.2,3.33,65.3049,100,100,0,0.0
autobahn-seamless,autobahn-seamless,completed,False,10000,10001.2,9980.0,749.0,917.0,1053.0,1.301,1010.0,8.68,1.6956,100,100,0,0.0
autobahn-seamless,autobahn-seamless,completed,False,150000,149966.4,149709.6,772.5,941.5,1079.0,2.27,1618.7,80.81,1.0533,100,100,0,0.0
autobahn-seamless,autobahn-seamless,completed,False,200000,199785.7,199375.2,783.0,950.0,1091.0,2.577,1868.6,106.57,1.0425,100,100,0,0.0
autobahn-seamless,autobahn-seamless,completed,False,225000,224970.2,224506.6,787.5,954.0,1095.0,2.807,2169.7,119.46,1.0373,100,100,0,0.0
autobahn-seamless,autobahn-seamless,completed,False,250000,245110.6,237338.8,801.0,984.0,2086.0,2.981,2892.5,132.71,1.0583,100,100,0,0.0
autobahn-seamless,autobahn-seamless,completed,True,275000,205301.4,203582.7,803.0,981.0,1157.0,2.923,5065.1,137.91,1.3115,100,100,0,0.0
simpleit-optrbc,simple-it,completed,False,100,99.6,99.5,702.5,805.0,864.0,0.757,413.4,18.82,368.9174,100,100,0,0.0
simpleit-optrbc,simple-it,completed,False,10000,9999.0,9981.7,693.5,803.5,886.5,1.194,905.1,24.18,4.7223,100,100,0,0.0
simpleit-optrbc,simple-it,completed,False,150000,150030.0,149679.8,707.5,821.0,909.0,2.272,1687.2,96.37,1.2546,100,100,0,0.0
simpleit-optrbc,simple-it,completed,False,200000,199437.1,199176.7,710.5,822.5,916.0,2.592,1952.0,122.18,1.1966,100,100,0,0.0
simpleit-optrbc,simple-it,completed,False,225000,224970.3,224487.3,712.0,824.0,910.5,2.877,2462.8,135.04,1.1722,100,100,0,0.0
simpleit-optrbc,simple-it,completed,False,250000,240496.3,238341.2,714.0,827.5,915.5,3.025,2463.9,147.52,1.1979,100,100,0,0.0
simpleit-optrbc,simple-it,completed,True,275000,231810.1,228273.0,716.0,828.5,922.0,2.956,2743.4,146.8,1.2367,100,100,0,0.0
simpleit-bracha,simple-it-bracha,completed,False,100,99.7,99.6,777.0,910.0,994.0,0.774,413.3,18.83,368.9007,100,100,0,0.0
simpleit-bracha,simple-it-bracha,completed,False,10000,9998.1,9971.3,779.5,904.5,981.5,1.198,879.7,24.18,4.7237,100,100,0,0.0
simpleit-bracha,simple-it-bracha,completed,False,150000,149982.7,149628.2,792.5,919.5,999.5,2.266,1736.8,96.4,1.2552,100,100,0,0.0
simpleit-bracha,simple-it-bracha,completed,False,200000,200123.0,199633.6,795.5,924.0,1005.0,2.583,2023.5,122.19,1.1927,100,100,0,0.0
simpleit-bracha,simple-it-bracha,completed,False,225000,224854.1,224387.0,798.5,925.5,1007.0,2.868,2288.2,135.1,1.1734,100,100,0,0.0
simpleit-bracha,simple-it-bracha,completed,False,250000,242316.2,239767.5,799.5,928.0,1013.0,3.072,2522.5,148.02,1.193,100,100,0,0.0
simpleit-bracha,simple-it-bracha,completed,True,275000,231071.7,227701.7,804.0,933.0,1025.0,2.964,2894.0,145.82,1.2321,100,100,0,0.0
bluestreak,starfish,completed,False,100,100.0,99.2,477.3,567.8,639.9,0.32,310.0,0.54,10.4462,100,100,0,
bluestreak,starfish,completed,False,10000,10010.6,9928.9,481.0,570.7,641.2,0.397,956.2,5.69,1.109,100,100,0,
bluestreak,starfish,completed,False,150000,148968.6,147469.1,514.3,636.1,790.2,1.597,6660.9,77.77,1.0217,100,100,0,
bluestreak,starfish,completed,True,200000,119803.2,-55144.9,1133.7,10452.0,14362.7,1.625,15571.6,74.16,1.2035,100,61,,
sailfish-pp,starfish,completed,False,100,99.8,99.3,786.6,1037.9,1916.0,2.868,671.8,8.71,170.2776,100,100,0,
sailfish-pp,starfish,completed,False,10000,10010.7,9944.4,789.3,1043.2,1763.4,2.926,1551.2,13.83,2.6984,100,100,0,
sailfish-pp,starfish,completed,False,150000,149874.6,148860.9,843.8,1202.6,2913.2,4.23,10064.3,86.08,1.1224,100,100,0,
sailfish-pp,starfish,completed,True,200000,57600.0,-78672.1,1135.5,7795.9,9895.2,4.333,15531.6,33.13,1.4423,92,58,,
